Categories,Eating Out,Utilities,Medical,Groceries,Insect Habitat,Media,Pets,Household,Home Maintenance,Auto,Haircuts,Entertainment,Home Furnishings,Misc,Mortgage,Apps,Streaming Services,Subscriptions Membership,Clothing,Health and Exercise,Education,Electronics,Financial Expenses,Travel,Computer Services
Eating Out,Cafe,Electricity,Doctors,Whole Foods,Plants,Books,Vet,Supplies,HVAC,Insurance,,Movies,Furniture,,,,Netflix,Magazines,New,Trainers,,,Bank charges,Transport,AWS
Utilities,Maru,Gas Heat,Co-pays,Trader Joe's,Landscaping,Music,Prescriptions,Printer Ink,Handyman,Registration,,Theatre,Kitchenware,,,,Apple Media,Apps,Dry cleaning,Equipment,,,Tax prep,Lodging,iCloud
Medical,Milan,Water,Prescriptions,Harris Teeter,,DVDs,Food,,Electrician,Fuel,,Concerts,Appliances,,,,Paramount,Barnes & Noble,Tailoring,,,,,Activities,Rick's email
Groceries,Other,Trash Pickup,Physical Therapy,Kroger,,,Supplies,,Plumbing,Maintenance,,,Lighting,,,,Peacock,Wikipedia,Costumes,,,,,,
Insect Habitat,Peter Chang's,Landline,VDC Fee,Market Street Market,,,,,,Repairs,,,,,,,AMC+ ad free,Washington Post,,,,,,,
Media,Sultan Kebab,Internet,Insurance,Other,,,,,,PPTax,,,,,,,Hulu/MAX/Disney/ESPN,New York Times online,,,,,,,
Pets,Taste of China,Cell Phones,OTC Drugs,Wegman's,,,,,,,,,,,,,PBS,Aaron Parnas,,,,,,,
Household,Terrava Lazeez,,OTC Equipment,Walmart,,,,,,,,,,,,,MGM+ via Prime,,,,,,,,
Home Maintenance,Thai Cuisine,,,Integral Yoga,,,,,,,,,,,,,,,,,,,,,
Auto,Twisted Branch Tea Bazaar,,,IX Market,,,,,,,,,,,,,,,,,,,,,
Haircuts,Petit Mariebette,,,,,,,,,,,,,,,,,,,,,,,,
Entertainment,Albemarle Baking Company,,,,,,,,,,,,,,,,,,,,,,,,
Home Furnishings,Travel,,,,,,,,,,,,,,,,,,,,,,,,
Misc,,,,,,,,,,,,,,,,,,,,,,,,,
Mortgage,,,,,,,,,,,,,,,,,,,,,,,,,
Apps,,,,,,,,,,,,,,,,,,,,,,,,,
Streaming Services,,,,,,,,,,,,,,,,,,,,,,,,,
Subscriptions Membership,,,,,,,,,,,,,,,,,,,,,,,,,
Clothing,,,,,,,,,,,,,,,,,,,,,,,,,
Health and Exercise,,,,,,,,,,,,,,,,,,,,,,,,,
Education,,,,,,,,,,,,,,,,,,,,,,,,,
Electronics,,,,,,,,,,,,,,,,,,,,,,,,,
Financial Expenses,,,,,,,,,,,,,,,,,,,,,,,,,
Travel,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Services,,,,,,,,,,,,,,,,,,,,,,,,,
